City,Latitude,Longitude
Кузнецк,53.12,46.6
Кумертау,52.76,55.8
Кунгур,57.43,56.94
Курган,55.45,65.34
Курск,51.73,36.19
Кызыл,51.71,94.45
Лабинск,44.63,40.74
Лениногорск,54.6,52.46
Ленинск-Кузнецкий,54.66,86.17
Лесной,57.62,63.08
Лесосибирск,58.24,92.48
Ливны,52.43,37.61
Липецк,52.6,39.57
Лиски,50.98,39.52
Лобня,56.01,37.48
Лысьва,58.11,57.81
Лыткарино,55.58,37.91
Люберцы,55.68,37.89
Магадан,59.56,150.8
Магас,43.22,44.77
Магнитогорск,53.42,59.05
Майкоп,44.61,40.11
Махачкала,42.98,47.5
Междуреченск,53.69,88.06
Мелеуз,52.96,55.93
Миасс,55.05,60.11
Минеральные Воды,44.21,43.14
Москва,55.75,37.62
Минусинск,53.71,91.69
Михайловка,50.06,43.24
Михайловск,45.13,42.03
Мичуринск,52.9,40.49
Мурманск,68.98,33.09
Муром,55.58,42.04
Мытищи,55.91,37.73
Набережные Челны,55.73,52.41
Назарово,56.01,90.4
Назрань,43.23,44.77
Нальчик,43.5,43.62
Наро-Фоминск,55.39,36.73
Нарьян-Мар,67.64,53
Находка,42.81,132.87
Невинномысск,44.63,41.94
Нерюнгри,56.67,124.64
Нефтекамск,56.09,54.27
Нефтеюганск,61.1,72.6
Нижневартовск,60.93,76.55
Нижнекамск,55.64,51.82
Нижний Новгород,56.33,44
Нижний Тагил,57.92,59.97
Ново-Переделкино,55.65,37.34
Новоалтайск,53.39,83.94
Новокузнецк,53.76,87.11
Новокуйбышевск,53.1,49.95
Новомосковск,54.01,38.28
Новороссийск,44.72,37.77
Новосибирск,55.04,82.93
Новотроицк,51.2,58.33
Новоуральск,57.24,60.08
Новочебоксарск,56.11,47.48
Новочеркасск,47.42,40.09
Новошахтинск,47.76,39.93
Новый Уренгой,66.08,76.63
Ногинск,55.87,38.44
Норильск,69.35,88.2
Ноябрьск,63.19,75.44
Нягань,62.14,65.39
Обнинск,55.1,36.61
Одинцово,55.68,37.28
Озёрск,55.76,60.7
Октябрьский,54.48,53.47
Омск,54.99,73.37
Орёл,52.97,36.08
Оренбург,51.77,55.1
Орехово-Зуево,55.81,38.96
Орск,51.2,58.57
Павлово,55.97,43.1
Павловский Посад,55.78,38.66
Пенза,53.2,45
Первоуральск,56.91,59.94
Пермь,58,56.25
Петрозаводск,61.79,34.36
Петропавловск-Камчатский,53.04,158.65
Подольск,55.43,37.55
Полевской,56.49,60.18
Прокопьевск,53.9,86.71
Прохладный,43.75,44.04
Псков,57.82,28.33
Пушкино,56.01,37.85
Пятигорск,44.04,43.06
Раменское,55.57,38.23
Ревда,56.8,59.93
Реутов,55.76,37.86
Ржев,56.26,34.33
Рославль,53.95,32.86
Россошь,50.19,39.58
Ростов-на-Дону,47.23,39.72
Рубцовск,51.5,81.2
Рыбинск,58.05,38.83
Рязань,54.63,39.74
Салават,53.37,55.93
Сальск,46.47,41.54
Самара,53.2,50.15
Санкт-Петербург,59.94,30.31
Саранск,54.18,45.18
Сарапул,56.47,53.8
Саратов,51.53,46.03
Саров,54.93,43.32
Свободный,51.37,128.13
Севастополь,44.6,33.53
Северодвинск,64.56,39.83
Северск,56.6,84.85
Сергиев Посад,56.3,38.14
Серпухов,54.92,37.41
Сертолово,60.14,30.21
Сибай,52.72,58.66
Симферополь,44.95,34.1
Славянск-на-Кубани,45.26,38.12
Смоленск,54.78,32.04
Соликамск,59.63,56.78
Солнечногорск,56.18,36.98
Сосновый Бор,59.9,29.08
Сочи,43.6,39.73
Ставрополь,45.05,41.98
Старый Оскол,51.3,37.83
Стерлитамак,53.63,55.95
Ступино,54.9,38.07
Сургут,61.25,73.42
Сызрань,53.16,48.47
Сыктывкар,61.67,50.82
Таганрог,47.22,38.92
Тамбов,52.73,41.44
Тверь,56.86,35.91
Тимашёвск,45.62,38.94
Тихвин,59.64,33.53
Тихорецк,45.86,40.13
Тобольск,58.2,68.26
Тольятти,53.53,49.34
Томск,56.49,84.97
Троицк,55.48,37.31
Туапсе,44.1,39.08
Туймазы,54.6,53.71
Тула,54.2,37.61
Тюмень,57.15,65.53
Узловая,53.97,38.17
Улан-Удэ,51.83,107.58
Ульяновск,54.31,48.39
Урус-Мартан,43.13,45.54
Усолье-Сибирское,52.75,103.65
Уссурийск,43.8,131.95
Усть-Илимск,57.93,102.75
Усть-Кут,56.79,105.76
Уфа,54.74,55.96
Ухта,63.56,53.69
Феодосия,45.03,35.38
Фрязино,55.96,38.05
Хабаровск,48.48,135.08
Ханты-Мансийск,61.01,69.02
Хасавюрт,43.25,46.58
Химки,55.89,37.44
Чайковский,56.77,54.11
Чапаевск,52.97,49.71
Чебоксары,56.14,47.25
Челябинск,55.16,61.4
Черемхово,53.13,103.09
Череповец,59.13,37.9
Черкесск,44.23,42.05
Черногорск,53.82,91.28
Чехов,55.14,37.47
Чистополь,55.37,50.64
Чита,52.05,113.49
Шадринск,56.08,63.63
Шали,43.15,45.9
Шахты,47.71,40.21
Шуя,56.85,41.38
Щёкино,54.02,37.52
Щёлково,55.92,38.0
Электросталь,55.79,38.44
Элиста,46.31,44.26
Энгельс,51.5,46.12
Южно-Сахалинск,46.94,142.73
Юрга,55.72,84.93
Якутск,62.03,129.73
Ярославль,57.63,39.87
Ярцево,55.07,32.7
